type,word
happy,233
happy,快乐
happy,愉悦
happy,第一
happy,自豪
happy,胜利
happy,嘿嘿
happy,安康
happy,安慰
happy,春心荡漾
happy,得心应手
happy,逗
happy,放松
happy,福音
happy,高兴
happy,恭喜
happy,哈哈
happy,好逗
happy,嘿嘿
happy,吼吼
happy,开心
happy,可喜
happy,芜湖
happy,乐
happy,爽
happy,太逗
happy,太好了
happy,好奇
happy,痛快
happy,无压力
happy,蚌埠住了
happy,喜感
happy,喜剧
happy,笑
happy,燃
happy,幸好
happy,有趣
happy,愉快
like,爱
like,依然爱
like,赏
like,起立
like,吹爆
like,可以
like,致敬
like,爱你
like,我爱你
like,我喜欢你
like,永远的神
like,永远滴神
like,当之无愧
like,非凡
like,有名
like,非凡的
like,想你
like,霸气
like,白胖
like,棒
like,抱拳
like,逼真
like,变好
like,挺好
like,彪悍
like,冰清玉洁
like,波澜不惊
like,不败
like,不错
like,不简单
like,不可思议
like,不愧
like,不输
like,灿烂
like,沉浸
like,成功
like,挚爱
like,成熟
like,诚
like,痴情
like,出尘脱俗
like,出色
like,楚楚可怜
like,处变不惊
like,纯洁
like,聪明
like,大开眼界
like,大智
like,献出心脏
like,赞赞
like,万岁
like,淡定
like,神作
like,的确
like,巅峰
like,都好
like,都可以
like,对得起
like,多好
like,多谢
like,反败为胜
like,实至名归
like,非凡
like,丰富
like,丰盛
like,风范
like,风骨
like,福星
like,改邪归正
like,感动
like,感人
like,干净
like,杠杠的
like,高贵
like,高冷
like,高能
like,公平
like,乖
like,跪舔
like,果然
like,憨厚
like,豪华
like,好好
like,好
like,好爱
like,真爱
like,好感
like,赛高
like,好姑娘
like,好看
like,好快
like,好厉害
like,好脾气
like,好评
like,好人
like,好山好水
like,镇站之宝
like,名正言顺
like,好使
like,好听
like,好玩
like,好样的
like,好用
like,合理
like,合适
like,和气
like,和善
like,很强
like,很炫
like,红润
like,怀念
like,欢迎
like,活泼
like,机智
like,激动
like,极好
like,见多识广
like,见过世面
like,娇俏
like,娇羞
like,解恨
like,解气
like,精彩
like,精妙
like,精辟
like,精髓
like,敬爱
like,绝了
like,绝伦
like,绝色
like,绝俗
like,开挂
like,开朗
like,可爱
like,可口
like,酷爱
like,浪漫
like,磊落
like,厉害
like,利索
like,靓妹
like,伶牙俐齿
like,灵活
like,灵气
like,略可
like,排面
like,略胜
like,蛮好
like,蛮拼
like,满意
like,满足
like,美
like,魅力
like,魅影
like,萌
like,迷倒
like,迷上
like,迷住
like,妙算
like,名副其实
like,明辨是非
like,命大
like,男神
like,你强
like,逆天
like,逆袭
like,牛掰
like,牛逼
like,女神
like,老婆
like,女王
like,女侠
like,偶像
like,佩服
like,漂亮
like,飘逸
like,期待
like,奇妙
like,谦虚
like,强悍
like,亲亲
like,轻巧
like,轻松
like,轻盈
like,清纯
like,清新
like,清秀
like,如玉
like,撒花
like,善良
like,深情
like,甚好
like,生动
like,盛宴
like,识相
like,适合
like,淑女
like,舒服
like,熟练
like,帅
like,顺眼
like,说得对
like,天真烂漫
like,舔屏
like,贴心
like,停不下来
like,挺好
like,同意
like,美如画
like,突飞猛进
like,万人迷
like,万岁
like,威武
like,伟大
like,温柔
like,温润
like,温顺
like,温婉
like,温馨
like,文武全才
like,闻名
like,我爱
like,无愧
like,喜欢
like,喜欢的
like,你币有了
like,销魂
like,幸福
like,学霸
like,严谨
like,爷们
like,也行
like,也可以
like,一见钟情
like,一气呵成
like,一身正气
like,熠熠生辉
like,引人入胜
like,英雄
like,硬朗
like,勇气
like,勇士
like,勇者
like,有爱
like,有本事
like,有道理
like,有点意思
like,有定力
like,有福
like,有光泽
like,有心
like,有资格
like,玉女
like,圆满
like,圆润
like,赞
like,仗义
like,真好
like,真强
like,整齐
like,正大光明
like,正道
like,正解
like,正经
like,正派
like,正气
like,正义
like,正直
like,正宗
like,支持
like,值得
like,值了
like,值钱
like,智谋
like,智取
like,忠厚
like,忠心
like,钟情
like,重义
like,瞩目
like,祝福
like,专注
like,壮哉
like,自信
like,自由
like,走心
like,最爱
like,最强
like,醉人
like,尊敬
like,尊师重道
like,坐等
anger,WTF
anger,报仇
anger,报复
anger,闭嘴
anger,憋气
anger,操蛋
anger,抽死
anger,畜生
anger,畜牲
anger,够啦
anger,够了
anger,滚
anger,很气
anger,竟敢
anger,看个毛
anger,看毛
anger,妈逼
anger,妈蛋
anger,玩完
anger,麻痹
anger,毛线
anger,尼玛
anger,吃柠檬
anger,你妹
anger,怒
anger,恼
anger,怒了
anger,凭什么
anger,岂有
anger,气得
anger,气死
anger,生气
anger,想砍
anger,想杀
anger,丫的
anger,有没有搞错
anger,去你的
anger,找死
sad,QAQ
sad,呜呜
sad,黯然
sad,悲
sad,崩溃
sad,不保
sad,不得不
sad,落寞
sad,惨淡
sad,不忍
sad,不舍
sad,不顺
sad,惨
sad,操心
sad,愁
sad,担心
sad,倒霉
sad,倒大霉
sad,惦念
sad,对不住
sad,放弃
sad,尴尬
sad,顾虑
sad,跪了
sad,抱歉
sad,过意不去
sad,没人爱
sad,好累
sad,好虐
sad,好痛
sad,痛
sad,后悔
sad,纠结
sad,堪忧
sad,可怜
sad,可惜
sad,哭了
sad,哭
sad,苦逼
sad,累了
sad,没办法
sad,难过
sad,难受
sad,难为情
sad,内疚
sad,炮灰
sad,求别黑
sad,求放过
sad,伤心
sad,泪目
sad,舍不得
sad,受伤
sad,不想
sad,同情
sad,痛苦
sad,委屈
sad,无奈
sad,无言以对
sad,无语
sad,无助
sad,想死
sad,心塞
sad,心碎
sad,碎
sad,心疼
sad,要哭
sad,要命
sad,一言难尽
sad,已跪
sad,已死
sad,有愧
sad,郁闷
sad,晕
sad,怎么办
sad,自卑
sad,醉到
sad,醉了
sad,脱轨
surprise,艾玛
surprise,惊
surprise,竟然
surprise,居然
surprise,妈啊
surprise,妈呀
surprise,没想到
surprise,难以相信
surprise,什么情况
surprise,天啊
surprise,？
surprise,?
surprise,哇
disgust,白痴
disgust,就这
disgust,卑鄙
disgust,本末倒置
disgust,比不上
disgust,鄙视
disgust,碧池
disgust,贬低
disgust,变态
disgust,变味
disgust,婊
disgust,别逼
disgust,别打扰
disgust,别闹
disgust,别扭
disgust,别提
disgust,蹩脚
disgust,不成
disgust,不服
disgust,不符
disgust,不该
disgust,不行
disgust,不好
disgust,不讲理
disgust,不科学
disgust,不可教
disgust,不可理喻
disgust,不可一世
disgust,不能忍
disgust,不仁
disgust,不要脸
disgust,不咋地
disgust,不怎么样
disgust,不正常
disgust,不知进退
disgust,不知羞耻
disgust,不足
disgust,残暴
disgust,残忍
disgust,差评
disgust,嘲讽
disgust,吵个毛
disgust,扯淡
disgust,吃不消
disgust,吃里扒外
disgust,吃闲饭
disgust,痴呆
disgust,宠坏
disgust,丑
disgust,臭嘴
disgust,蠢货
disgust,次奥
disgust,粗鄙
disgust,打死
disgust,大嘴
disgust,戴绿帽
disgust,得寸进尺
disgust,得理不饶人
disgust,嘚瑟
disgust,德行
disgust,德性
disgust,蹬鼻子上脸
disgust,低端
disgust,低劣
disgust,刁蛮
disgust,叼
disgust,屌
disgust,叼炸
disgust,碉堡
disgust,动手动脚
disgust,多嘴
disgust,咄咄逼人
disgust,恶毒
disgust,恶魔
disgust,恶人
disgust,恶俗
disgust,恶心
disgust,天道好轮回
disgust,恶意
disgust,恩将仇报
disgust,二奶
disgust,发疯
disgust,烦
disgust,反对
disgust,反复无常
disgust,反咬
disgust,犯规
disgust,犯罪
disgust,泛滥
disgust,放荡
disgust,飞扬跋扈
disgust,诽谤
disgust,废话
disgust,费事
disgust,疯
disgust,讽刺
disgust,敷衍
disgust,浮夸
disgust,负心
disgust,该打
disgust,该死
disgust,搞什么
disgust,苟且
disgust,狗逼
disgust,狗急跳墙
disgust,狗男女
disgust,狗血
disgust,过分
disgust,寒碜
disgust,好苏
disgust,好自为之
disgust,好作
disgust,好低级
disgust,黑化
disgust,黑我
disgust,很坏
disgust,狠辣
disgust,恨死
disgust,胡闹
disgust,胡说
disgust,花痴
disgust,花心
disgust,哗众取宠
disgust,画蛇添足
disgust,坏人
disgust,荒唐
disgust,黄赌毒
disgust,毁
disgust,混蛋
disgust,活该
disgust,鸡皮疙瘩
disgust,极品
disgust,假
disgust,奸夫淫妇
disgust,见鬼
disgust,贱
disgust,娇惯
disgust,娇生惯养
disgust,教坏
disgust,精神病
disgust,精神分裂
disgust,精神污染
disgust,咎由自取
disgust,举报
disgust,拒绝
disgust,绝情
disgust,看轻
disgust,可耻
disgust,可恶
disgust,坑
disgust,口是心非
disgust,口味重
disgust,夸张
disgust,亏待
disgust,垃圾
disgust,拉倒
disgust,辣手
disgust,烂
disgust,烂俗
disgust,滥造
disgust,浪费
disgust,老贼
disgust,雷
disgust,廉价
disgust,潦倒
disgust,流氓
disgust,乱
disgust,啰嗦
disgust,落后
disgust,落魄
disgust,玛丽苏
disgust,盲目
disgust,毛线
disgust,没好
disgust,没良心
disgust,没人性
disgust,没羞没臊
disgust,没用
disgust,没志气
disgust,秒杀
disgust,秒死
disgust,明目张胆
disgust,魔鬼
disgust,魔化
disgust,莫名其妙
disgust,木讷
disgust,孬种
disgust,脑残
disgust,能忍吗
disgust,泥垢
disgust,泥煤
disgust,溺爱
disgust,娘炮
disgust,孽缘
disgust,扭曲
disgust,劈腿
disgust,皮厚
disgust,屁
disgust,偏激
disgust,偏颇
disgust,偏心眼
disgust,骗钱
disgust,骗人
disgust,骗我
disgust,奇葩
disgust,欠揍
disgust,强行
disgust,瞧不起
disgust,禽兽
disgust,轻敌
disgust,轻浮
disgust,请自重
disgust,穷逼
disgust,去死
disgust,人格分裂
disgust,忍不住
disgust,任性
disgust,弱智
disgust,丧心病狂
disgust,骚气
disgust,色狼
disgust,杀人犯
disgust,杀人狂
disgust,傻逼
disgust,傻叉
disgust,傻子
disgust,煞笔
disgust,煽风点火
disgust,蛇精病
disgust,什么鬼
disgust,神经病
disgust,失当
disgust,十恶不赦
disgust,受不了
disgust,撕逼
disgust,死吧
disgust,死去
disgust,死鱼
disgust,苏死
disgust,俗套
disgust,太蠢
disgust,太坏了
disgust,太弱
disgust,讨人厌
disgust,讨厌
disgust,偷窥狂
disgust,完虐
disgust,玩火自焚
disgust,玩弄
disgust,玩意
disgust,妄想
disgust,忘恩负义
disgust,为毛
disgust,违和
disgust,猥琐
disgust,窝囊
disgust,我倒
disgust,我呸
disgust,诬赖
disgust,诬陷
disgust,无耻
disgust,无赖
disgust,无力吐槽
disgust,无聊
disgust,无情
disgust,五毛特效
disgust,侮辱
disgust,误人子弟
disgust,误入歧途
disgust,瞎
disgust,下等
disgust,嚣张
disgust,小三
disgust,小心眼
disgust,心机
disgust,心理变态
disgust,心神不宁
disgust,惺惺
disgust,虚伪
disgust,炫耀
disgust,要死不活
disgust,一塌糊涂
disgust,移情别恋
disgust,阴暗
disgust,阴毒
disgust,阴险
disgust,淫荡
disgust,淫妇
disgust,淫乱
disgust,硬伤
disgust,用错
disgust,用力过度
disgust,有病
disgust,有错
disgust,有毛病
disgust,有问题
disgust,幼稚
disgust,于妈抄
disgust,于妈开黑
disgust,愚钝
disgust,糟糕
disgust,糟践
disgust,糟蹋
disgust,啧啧
disgust,渣
disgust,长残了
disgust,招黑
disgust,折磨
disgust,争强好胜
disgust,狰狞
disgust,智障
disgust,猪脑
disgust,猪一样
disgust,拽
disgust,装逼
disgust,装傻
disgust,自大
disgust,自负
disgust,自甘堕落
disgust,自夸
disgust,自恋
disgust,自虐
disgust,自取其辱
disgust,自私
disgust,自以为是
disgust,自作自受
disgust,作呕
disgust,作死
disgust,不配
fear,不敢
fear,噩梦
fear,诡异
fear,鬼啊
fear,救命
fear,恐怖
fear,怕
fear,好可怕
fear,危险
fear,吓
fear,致命
fear,致死
